"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.12.2021","4,790","4,845","4,870","4,753","25,70M","0,37%"
"02.12.2021","4,772","4,765","4,810","4,719","29,92M","-0,94%"
"01.12.2021","4,818","4,756","4,839","4,730","29,66M","2,45%"
"30.11.2021","4,702","4,750","4,805","4,667","44,52M","-2,08%"
"29.11.2021","4,802","4,959","4,973","4,801","27,51M","-0,90%"
"26.11.2021","4,846","4,996","5,054","4,846","43,91M","-7,34%"
"25.11.2021","5,230","5,216","5,253","5,167","14,47M","0,77%"
"24.11.2021","5,190","5,303","5,360","5,190","35,45M","-1,95%"
"23.11.2021","5,293","5,327","5,403","5,267","32,98M","-2,42%"
"22.11.2021","5,424","5,465","5,501","5,314","23,67M","0,39%"
"19.11.2021","5,403","5,495","5,578","5,300","34,34M","-0,59%"
"18.11.2021","5,435","5,750","5,780","5,355","47,15M","-5,51%"
"17.11.2021","5,752","5,800","5,813","5,749","15,79M","-0,81%"
"16.11.2021","5,799","5,884","5,900","5,785","19,19M","-1,13%"
"15.11.2021","5,865","5,929","5,950","5,705","24,49M","-4,28%"
"12.11.2021","6,127","6,180","6,186","6,073","14,89M","0,77%"
"11.11.2021","6,080","6,040","6,118","6,030","23,86M","0,80%"
"10.11.2021","6,032","5,976","6,047","5,967","10,65M","0,99%"
"09.11.2021","5,973","5,991","6,040","5,936","9,69M","-0,80%"
"08.11.2021","6,021","6,006","6,089","5,995","17,91M","-0,08%"
"05.11.2021","6,026","6,028","6,107","5,997","17,15M","-0,23%"
"04.11.2021","6,040","6,220","6,260","6,005","37,12M","-2,31%"
"03.11.2021","6,183","6,155","6,189","6,064","14,96M","0,34%"
"02.11.2021","6,162","6,202","6,254","6,141","14,29M","-1,86%"
"01.11.2021","6,279","6,052","6,292","6,030","19,04M","3,58%"
"29.10.2021","6,062","5,760","6,099","5,760","45,39M","7,46%"
"28.10.2021","5,641","5,599","5,674","5,501","15,38M","0,46%"
"27.10.2021","5,615","5,680","5,744","5,562","17,13M","-1,20%"
"26.10.2021","5,683","5,701","5,735","5,611","13,94M","-0,32%"
"25.10.2021","5,701","5,650","5,734","5,586","15,57M","0,26%"
"22.10.2021","5,686","5,671","5,727","5,632","15,53M","0,44%"
